653094|7800,6399.99,2251.3,3709,3999.99
653096|1099.95,1006.99,999.99,999.99,1170.4
653098|3000,2300,2200,1849.99,1700
653100|755.98,801.17,755.97,1004.99,601.99
653102|6500,6500,4102,3800,3800
653104|2006.48,2004.99,1955.99,1950,1964.99
653106|2000,1601.24,900,751.54,940
653108|1100,1101.3,1099.95,970,970
653110|1908.25,1906.26,1904.99,1890.11,1450.99
653112|1500,1001,795,791,664.77
653114|3000,2200,1900,2001.99,2004.99
653116|999.95,593.44,1104.99,650.58,649.31
664913|7400,6600,4899.99,4999.89,3100
664930|2300,2319.99,3377.98,2199,2000.58
664938|2289.95,1001.2,1899.99,1899.99,2000
664941|615,600.99,600.99,602.79,604.99
665645|491,499.95,481,481,481.25
666469|800.99,850.98,770,790,781.76
666783|1300,1149.99,1200,1199,1250
666787|551.99,702,639.99,649.99,641.48
668208|604.28,301.52,500.99,500.99,450
668211|1025,900.99,836,800.73,844.99
668213|1650,1649.99,1649.99,1199.99,1004.99
668215|651.99,620.99,604.99,575,565.96
684210|574.95,358.57,541,619,550.99
684502|850,850,476.98,455.49,480.99
684504|355.65,722.22,599.98,597.98,467.58
684506|2000.99,1899,2000,2003.78,2261.38
684521|601.48,599.98,487.03,486.99,486.99
685522|1100,850,852,793.99,799.97
685524|701.99,945.93,900,825,620.99
685525|724.99,490.3,721.99,749.95,889.95
685526|671.48,504.57,505.91,654.99,651.49
685605|600,575.99,600,620,599.99
685607|895.01,720,704.95,654.99,620.99
685609|1303.48,1301.49,1291.41,1204.99,1007.25
708197|441.5,432.99,441.5,422.19,485
708198|475,466.99,473.99,476.49,491.49
709102|495.99,495.99,500.99,545.99,501.48
709103|1351.2,1200,1499.99,1251.99,1176.48
709304|669.69,682.89,682.88,682.87,655.98
709666|1401.49,1300,1251.99,1399.95,1300.69
709667|1061.99,1101.22,1153.48,1299.95,1350
709668|3000.99,2799.98,3000,3000,3000
709669|1150,1240,1175.98,1175.99,901.99
653093|319.95,349.5,344.99,339.99,334.49
653095|68.85,64.36,109.5,69.25,68.35
653097|131.95,131.99,143.99,142.55,131.98
653099|68.44,62.13,60.99,69.77,69.89
653101|398.49,401.37,371.99,391.98,371.99
653103|130.99,137.18,133.99,136.97,131.25
653105|82.49,80.47,81.64,80.47,80.47
653107|87.97,97.99,101.99,95,91.93
653109|174.99,176.98,176.99,188.29,176.99
653111|116.64,111.39,110,109.5,108
653113|174.99,173,179.97,176,175
653115|97.75,89.98,92.99,89.99,89.98
664881|800.99,850,765,698.99,677.18
664882|210.99,215.99,215.99,237.99,181.28
664883|51.21,52.41,48.99,49.99,50
664929|289.28,304.97,304.95,300.98,302.6
664931|99.36,99.36,108.86,108.94,109.75
664932|49.99,55.99,59.49,55.99,64.99
664933|71,74.99,66.79,71,69.98
664937|276.03,299.69,300,298.42,274.99
664940|89.38,89.99,89.99,89.88,89.88
664942|48.48,49.3,49.96,48.49,48.74
664944|46.99,54.99,54.25,56.5,54.99
665133|169.5,83.53,174.99,105.05,99.35
665134|119.98,119.99,110.99,119.99,119.99
665644|44.72,43.75,43.19,43.99,43.22
666465|96.25,74.99,101.21,88.98,99.99
666467|60.28,55,58,54.98,57.98
666468|80.99,79.03,82.25,85,77.55
666779|67,66.98,66.98,48.17,66.94
666780|103.26,102,102,102,97.98
666781|124.98,123.5,124.98,124.48,124.49
666782|62.58,60.37,69.1,64.69,64.69
666784|147.48,145.99,148.99,147.99,140.95
666785|71.76,71,66.92,71,70.95
666786|52.99,57.99,57.99,53.86,57.99
666788|78.67,78.66,79,76.49,76.49
666789|65.53,66.2,62,61.99,64.49
668209|54.15,54.94,54.15,61.49,54.94
668210|63.99,66.31,70.6,61.99,61.98
668212|190.55,189.99,189,194.19,190.98
668214|70.78,64.29,70.9,64,62.75
684501|84.74,83.99,83.99,75.49,84.99
684503|74,69.99,75.99,57.45,55.96
684505|243.99,240.99,244.79,245.99,245.94
684507|70.22,99.97,99.95,92.99,89.99
684517|55,52.16,55.99,53.31,55
