653101|42|2025-10-27|2026-08-10|99|801.05|000607080917140914131007070913111815161417171714131315111110080705080916302246423838|232316142821171617181314101521272321212018181819171715171314161014132328469971484143|031411101720171414141311091215192020191918171817161515141312100910101419335058514342
653093|42|2025-10-27|2026-08-10|124|719.98|040200010809070607060908040616201311111310141512151413110602000002030201092524243233|991008111312141009132513161634342421211617221720191814140906080305080515304837464037|080403061010090807101412101019222016131312141515151615141108020102030306183034323436
653109|42|2025-10-27|2026-08-10|54.49|224|020006132921232124241716161525273023242018201820202120071313121109120909135079826570|212721484545293530362718213856473830282823242124272432211915171216141220849996887878|040710283932282725262421182227333429252220202020212122201614131311111115388182837976
653113|42|2025-10-27|2026-08-10|60.98|249.31|030002051828232427212321171941412934292828385360595157413321161914161108167455555559|210846344438323434343330324599624742373946688170635957504333402624162145848475636367|080212272731272830292726252743533736353235435155606160524135252319181723546870636060
653097|42|2025-10-27|2026-08-10|45.99|225|050004060627242423221902181327312027293019313333312924251111081008131617257866415048|421228494130303332322822223142423333353133414137363430252314221121242429999980705854|160609322728262524252317172226323330293029323434343432312413111012151619408082725652
653103|41|2025-10-27|2026-08-10|43|223.5|2202041316161515161505071012222125222220181920182020120803030400050807125053394745|4022193725231824241918151845323128282525232322232531211027200714130961869075996952|2805121720201817171612101221242726262423222120202121201408050608091021546862605448
653111|42|2025-10-27|2026-08-10|46.5|182.98|040015323535283033395932383936522652605461506153534850392721221921272824263252454345|333834755741464060997951505461827165686764657161626657553726423030363634366957535451|131329434140353338516447472945596358606260626261605756544738252325283030304852524847
653115|41|2025-10-27|2026-08-03|44.99|144.99|1506133555585548474225252520454632353232353535353538262626161716172015001524435044|8527628099837468545846294154796749453446545240413945393232293319263222224099885652|4220365773686054524934272641495140353334363838373637363328262219182020152035474953
653105|42|2025-10-27|2026-08-10|36.5|150|200007171733262634413523272645514041272733353534332929342012070505040606135651574038|473651775851455150554845345599826248425438453735384734342350261219120899909865727346|290721524538343335414234313853605644373837363535343433332922121010101039556764615348
653107|42|2025-10-27|2026-08-10|45.99|142.99|100007094546524544403530282540474340033635363941403731312415171918171513152335373641|993360817589765250554341384354565052464045504743483838373553412227193338305553584257|290823565555545147444138313246494843353438414141424140383023201917171816233843403842
653095|42|2025-10-27|2026-08-10|41|430.98|030101070707070808070605060511090708080706070808100906050404020201030000010106030606|990710151112091009090808081320161209140808101010140910070504080304040106071414090817|100305100909080808080706060813131008080807080809101009090605030202020201030709080707
653099|42|2025-10-27|2026-08-10|33.99|103.6|160000113841372430231611100923513831243630231728292326131612020102091110034650385038|413416857266443752363341247194784850416139353635393546311815100915143937458999555851|280808405549463532312217174152615339363636332828292929252318090509101019325060585148
664881|27|2026-02-09|2026-08-10|250.99|850|000812192321171411110808030403000006061633214971635666|412128333528262019131310110605071922224152499188856699|121117252625222016141209080705040709111721235566706867
664929|27|2026-02-09|2026-08-10|144.99|322.67|094756423121191000030312090506030601030811317670727273|868766595259364724211722181215171122231542879984868289|546360544537262112131314121008070808080815406678817879
