653101|42|2025-10-27|2026-08-10|99.0|800.0|000307070817140914130907070913111814161417171714111214101109080704080916282146433837|232116142821171617181314101521272321212018181819171715171314131014132328469971484143|031411101720171415141311091215192020191918171817161515141312100910101419335058514341
653093|42|2025-10-27|2026-08-10|123.0|719.98|040200010809060607060908010616191310111209141412151413110602000001030201102524233231|991007111312101009132514151633342421201616201717181914140906050304050415294836464138|080403061010100807101412101019222016131312141615161615141108020102030306183134323436
653109|42|2025-10-27|2026-08-10|52.99|224.0|010004122921242121191616171624273121250916201820212220071313121009120910145078826569|212721474642303031342719213956473931282823242121272433211916161315141321859996887878|050811293933292726262521192327333430252320212121222223211614141412121216388182837975
653113|42|2025-10-27|2026-08-10|48.83|248.0|080006102332272130252525222345453338253333415562605460443625202418201513207555575860|251350384038353839383433324899635145404349638272666160534537393028202648858577666668|130818323235323235343131293147564140393639465458636363554540302824242328577072666264
653097|42|2025-10-27|2026-08-10|40.0|225.0|000306080927242625242105201529332228313221323535333126271313101210151619287867434948|431327484332323229322925233243433535353335433939383532272517191423262427999980705956|190912342931282727272520202529343632323231343636363635332716141315181922428083735853
653103|41|2025-10-27|2026-08-10|41.69|218.5|2302031317161516161506071012232126222121192020192121120703030500060907135252384847|4224162724241919191819161846333329282725242423242633221113120814130963898977996053|2906131821211918181713111322252828272624232222212222211508060709101122567064625649
653111|42|2025-10-27|2026-08-10|45.0|179.99|040013323635293033396133403737512652615562485955544851402922222022272926273153454446|323334775943404062997852515462847366706866667062646659563827363029373734377058555651|141430444341373440536649493147616460626362646463615958554840262526303131315054545048
653115|42|2025-10-27|2026-08-10|43.99|139.99|160213375862554750432525252147493232323332373636353827272617181717201500152240534640|902958849988786158614731425778715042374758554240424740343531322024262424429893595544|452239607772645755523730284352544337353739404039383938353028242120222216223750525749
653105|42|2025-10-27|2026-08-10|35.0|150.0|210008171733262633413423282643523940262733333434333029301913090405040604135652563938|472047775951383847564844355699826149414339423636394735302425251320130899909865737347|300922524639343436414335323954605645383838373636353534343023131111111139566765625345
653107|42|2025-10-27|2026-08-10|35.0|142.99|180900175050525049453937353346514645124141414545454437363023222526262321233023413844|992560827772605555554947424658605552514650555149524444423933383030263744376058604755|361731606060585653504744383951545348414044474747484746443731282726252725314448464448
653095|42|2025-10-27|2026-08-10|40.0|424.99|030100070708070808070605060412090607070706070807100906060404020201030000000106020706|990810151212090909090808081420171209090808100910140910070505040303030105071414090817|100305111009080808080807070913141108080808080809101009090605030302030201030709090707
653099|42|2025-10-27|2026-08-10|31.0|100.0|200003144241402733271815130627534034273934271731322729172016040404101413064955425336|442719897769494257403527277699835355465043373938383950342219151419191942499397606356|321213456053514036352722224557665844414141373332343434292722130913141523375465635652
664881|27|2026-02-09|2026-08-10|250.0|850.0|000710172321171408100807030403000005061633214971635665|412128333528262019131310110705071922224152499186856699|121117252625222016141210080706050810121721235666706867
664929|27|2026-02-09|2026-08-10|140.0|321.45|114855413022211200050514110505050803031014317665737473|878765605453383826241925161414191416251644879984878290|566562554739282314161516141311101010101017416879827981
664937|27|2026-02-09|2026-08-10|34.65|400.0|182019171515151611101415100904080009101304195631586265|302224201919181819181816111210101216161422479985636972|212120201817161717161616141210090910111315216468666566
668212|27|2026-02-09|2026-08-10|41.68|245.0|231611020608060806060200030405030810091011094274757272|592324171009110919090913080609111414141128539987847574|311915100908080909090807050606070810111115256681807975
664882|27|2026-02-09|2026-08-10|84.98|499.0|192623221608101008060402000001010201010200061213121318|284437282616161512100711060403080404040216239914222234|243431272214121210090806030102020303020206081517151620
666784|27|2026-02-09|2026-08-10|40.0|195.0|162626252018151611150609020406060505000608132535465461|633535282324221922181220131010100809101013867096996469|283029282420191915151210090707070707070709232844495864
665134|27|2026-02-09|2026-08-10|64.99|197.99|262549442925151014161615150604040000000102033037484732|789963504833252920241922161920060606050404525647525641|395963524231262116181818181512090503030303244145464743
666781|27|2026-02-09|2026-08-10|54.76|149.99|576347373742282605111513111105110813210020013160575770|998371725249534230283715182116242124362822317868646973|717064584847413423212523171512161617232321183446566366
665133|27|2026-02-09|2026-08-10|35.99|349.99|345344232823201412151311100908050101000102020211111413|509960453631251717151518131709100704090304021415173344|436150333028241615151514131110080704020202021011141824
666780|27|2026-02-09|2026-08-10|64.99|324.99|243149321914050806090704010502020003030200020209101113|519997504128131011100909090605050305040403052930231416|285160402921101009090908060505040303030303030912141613
664931|27|2026-02-09|2026-08-10|49.99|200.0|435285835156533934322320131109050005050301050524262731|859999997974625840332323201312121010070707493833323949|558292927066605039383530231412100705050605242728283135
664940|27|2026-02-09|2026-08-10|50.0|188.0|226147393627251114202724221313181615001515162729222527|939972544747362924323025272722221720191718283632292929|437865544533292321262827262321181818161616212628282928
666465|27|2026-02-09|2026-08-10|32.99|110.0|666747545464545458604942140710060009101522213544414848|999981737371736764635866562819151516202324355165606799|807269696665646161615856482517131212141821273944495368
666468|27|2026-02-09|2026-08-10|20.0|134.97|575654424238342834382624252421222013121517002034434751|997561585044444145393843392829422625191830256565655656|725958474542413940393430282725252520161617183848505151
