653102|4500.0|Foil|0|0
653094|8299.0|Foil|0|0
653114|none|-|0|0
653098|49000.0|Foil|0|0
653104|2200.0|Foil|0|0
653110|3600.69|Foil|0|0
653108|1997.99|Foil|0|0
653106|1601.24|Foil|0|0
653096|1090.0|Foil|0|0
653112|1300.0|Foil|0|0
653116|999.9|Foil|0|0
653100|804.98|Foil|0|0
664913|5000.0|Foil|0|0
664930|2596.25|Foil|0|0
664938|2250.0|Foil|0|0
666783|1144.95|Foil|0|0
668213|1950.0|Foil|0|0
668211|999.99|Foil|0|0
666469|800.0|Foil|0|0
666787|681.01|Foil|0|0
664941|618.99|Foil|0|0
668215|700.0|Foil|0|0
665645|447.0|Foil|0|0
668208|594.99|Foil|0|0
684506|2998.0|Foil|0|0
685609|1399.99|Foil|0|0
685522|1000.0|Foil|0|0
685607|840.0|Foil|0|0
685524|1349.99|Foil|0|0
685525|719.99|Foil|0|0
685605|600.0|Foil|0|0
684502|750.0|Foil|0|0
684521|573.01|Foil|0|0
685526|658.99|Foil|0|0
684210|569.99|Foil|0|0
684504|700.0|Foil|0|0
709668|4000.0|Foil|0|0
709666|1311.34|Foil|0|0
709667|939.99|Foil|0|0
709103|1300.0|Foil|0|0
709669|1110.27|Foil|0|0
709304|674.85|Foil|0|0
709102|539.99|Foil|0|0
708197|439.97|Foil|0|0
708198|449.99|Foil|0|0
653101|360.0|Foil|0|0
653093|313.99|Foil|0|0
653109|167.97|Foil|0|0
653113|177.78|Foil|0|0
653097|130.0|Foil|0|0
653103|130.0|Foil|0|0
653111|108.39|Foil|0|0
653115|84.99|Foil|0|0
653105|81.18|Foil|0|0
653107|86.87|Foil|0|0
653095|67.26|Foil|0|0
653099|67.68|Foil|0|0
664881|750.0|Foil|0|0
664929|302.99|Foil|0|0
664937|245.0|Foil|0|0
668212|179.99|Foil|0|0
664882|207.99|Foil|0|0
666784|145.0|Foil|0|0
665134|110.0|Foil|0|0
666781|120.0|Foil|0|0
665133|154.99|Foil|0|0
666780|100.0|Foil|0|0
664931|110.0|Foil|0|0
664940|84.0|Foil|0|0
666465|95.0|Foil|0|0
666468|82.25|Foil|0|0
666788|79.99|Foil|0|0
668210|60.0|Foil|0|0
664933|68.2|Foil|0|0
666785|64.7|Foil|0|0
666789|60.0|Foil|0|0
668214|64.49|Foil|0|0
666779|65.0|Foil|0|0
666782|60.0|Foil|0|0
664944|47.01|Foil|0|0
666467|53.48|Foil|0|0
664932|55.99|Foil|0|0
666786|49.0|Foil|0|0
668209|52.0|Foil|0|0
664883|40.01|Foil|0|0
664942|45.49|Foil|0|0
665644|41.24|Foil|0|0
685925|2800.0|Foil|0|0
684505|235.99|Foil|0|0
684632|224.01|Foil|0|0
684633|176.51|Foil|0|0
685608|127.01|Foil|0|0
684628|122.28|Foil|0|0
684635|109.95|Foil|0|0
684638|116.48|Foil|0|0
684636|101.98|Foil|0|0
685603|134.49|Foil|0|0
685606|100.0|Foil|0|0
685604|91.7|Foil|0|0
685521|82.0|Foil|0|0
684501|84.74|Foil|0|0
685602|64.98|Foil|0|0
684507|84.99|Foil|0|0
684503|78.0|Foil|0|0
684517|53.01|Foil|0|0
685527|40.99|Foil|0|0
706095|429.59|Foil|0|0
706033|260.0|Foil|0|0
706111|228.33|Foil|0|0
707626|199.5|Foil|0|0
706059|190.0|Foil|0|0
707650|197.91|Foil|0|0
706014|179.5|Foil|0|0
707627|166.49|Foil|0|0
707646|130.0|Foil|0|0
706047|122.65|Foil|0|0
706091|150.0|Foil|0|0
707660|111.68|Foil|0|0
706118|117.66|Foil|0|0
706029|100.0|Foil|0|0
706039|100.0|Foil|0|0
706061|119.99|Foil|0|0
707655|97.0|Foil|0|0
707631|85.0|Foil|0|0
706046|93.68|Foil|0|0
707693|83.2|Foil|0|0
707658|84.0|Foil|0|0
706024|79.2|Foil|0|0
706119|76.06|Foil|0|0
707678|75.0|Foil|0|0
707675|67.0|Foil|0|0
706123|65.0|Foil|0|0
706009|60.82|Foil|0|0
707662|62.63|Foil|0|0
707607|54.04|Foil|0|0
706052|64.62|Foil|0|0
707687|51.49|Foil|0|0
