652771|1,1.5,0.1,1.5,0.25
652772|0.04,0.05,1.5,0.03,0.01
652773|0.15,1.54,0.1,1.5,0.03
652774|1.17,2.01,1.64,1.63,0.2
652775|1,0.05,1.55,0.1,0.02
652776|0.05,0.15,1,1,1.52
652777|1.56,1.6,0.07,1.55,1.59
652779|0.1,1.5,0.2,0.04,0.08
652780|1.3,0.25,0.1,0.1,0.25
652781|0.06,0.05,1.5,1.5,0.15
652782|1,0.03,1.79,0.1,1.5
652783|0.43,0.43,0.43,0.43,0.43
652784|1.54,0.25,0.25,1.59,0.1
652785|0.49,0.1,1.51,1.51,0.3
652786|1.59,0.1,0.1,0.09,0.1
652787|0.03,0.15,0.05,0.1,0.04
652788|1.55,0.19,0.1,1.6,1.59
652789|1.58,0.1,1.59,0.13,0.25
652790|0.07,1.7,1.76,0.1,1.5
652791|1.54,1.59,1.62,0.4,1.54
652792|1.59,1.59,0.3,2.2,0.25
652793|1.48,1.68,1.68,1.81,1.8
652794|1.34,0.2,0.09,0.13,1.58
652795|0.25,1.69,1.68,0.2,0.1
652796|0.2,0.08,1.53,1.79,1.03
652797|3.21,3.21,3.5,10.74,5.49
652798|2.01,2.56,3.5,3,2.98
652800|1.4,1.64,1.64,1.59,1.64
652801|20.22,19.49,19.98,19.33,19.97
652802|2.04,0.33,0.25,0.69,0.26
652804|2.06,2.24,1.56,0.2,1.06
652805|2.24,1.19,0.3,0.1,0.1
652806|1.44,0.32,0.32,0.35,1.64
652807|0.24,0.24,0.23,0.2,0.4
652808|1.71,1.74,1.74,1.89,0.43
652809|1.71,0.5,0.42,2.39,2.18
652810|5.99,8.45,5.67,8.4,8.29
652811|10.89,9.4,7.9,9.4,10.49
652812|76.99,75.99,75.9,77.2,74.31
652814|17,18.39,18.3,18.3,18.39
652815|2.49,2.49,1.7,1.57,2.49
652817|1.6,1.88,0.15,1.6,1.59
652819|1.01,0.9,1.25,1.01,2.29
652820|0.23,0.1,1.54,1,0.15
652821|4.13,3.38,3.38,4.73,3.38
652822|1.64,0.3,1.61,1.65,0.3
652823|0.25,0.05,1.74,0.25,0.25
652824|1.5,0.15,0.1,1.54,1.59
652825|0.05,0.01,0.1,0.01,1.5
652826|2.45,0.1,1.5,1.5,1.69
652827|2.45,1.5,0.05,1.58,1.58
652828|2.24,1.54,0.24,2.14,1.54
652829|0.08,1,1.64,0.1,1.52
652830|0.07,1.5,1.5,0.09,0.1
652831|0.06,0.1,0.05,1.5,0.1
652832|1.64,0.33,0.25,0.15,0.25
652833|0.29,0.3,0.49,0.18,0.22
652834|1.48,2.97,1.45,3.49,2.94
652835|0.11,1.53,0.15,0.4,1.54
652836|0.42,1.91,2.08,1.74,1.74
652837|2.03,0.25,1.59,0.14,1.69
652838|0.05,0.05,1.64,1.52,1.54
652839|1.75,0.14,1.07,0.2,3.18
652840|0.31,1.76,0.37,1.74,0.35
652841|1,1.56,1.52,1.4,1.5
652842|1.65,2.48,2.49,2.99,2.79
652844|1.99,0.5,1.2,0.74,2.22
652845|1.64,1.89,0.28,0.25,2.24
652846|2.08,0.4,1.58,4.34,0.35
652847|0.22,1.04,0.25,2.09,0.19
652848|0.29,2.24,1.76,1.76,1.05
652849|1.65,1,1.65,0.2,0.2
