653102|23|2025-11-03|2026-08-10|1100.0|6500.0|0400001606080707160919162526302616354139505599|0505071607090913161620182526312620394141505599|0303030606060608080910111213151616202526293343
653094|23|2025-11-03|2026-08-10|1249.0|7800.0|0008081917111411141016161921222223201329291578|1908191917111414141617162021222423202529421599|0305060808080910101114141515151617171919232328
653114|26|2025-11-03|2026-08-10|629.0|3000.0|0000020207091113040911112628272828281615112036565799|0502040709091113140911152628272828281619114457566699|0302020303040404050505080910111416171718182428293437
653098|26|2025-10-27|2026-08-10|540.0|2998.69|2700010201070610121210101421232323191011102738537199|2707020506070612121212121921232323191311172747677199|2704030302030305060608091213151617171717171821242829
653104|26|2025-10-27|2026-08-03|548.98|2004.99|4110010000110714101007101313302027241819171822549595|4117140207110714101409171331302037241820192030859599|4225141211111111110707101113141417181819202122283143
653110|23|2025-10-27|2026-07-27|500.0|1906.26|3414000101000807142125323242453521182624346799|3425120407110807172128325542463521232835349999|3420151206050505050611121922272829323230293739
653108|26|2025-10-27|2026-08-03|499.0|1150.0|7200070900000812192931181815463046523831313134744671|9938121515001618233831183831463046683844313191747491|8636232119181111131718182223252526313235363543454556
653106|25|2025-11-10|2026-08-10|574.99|2000.0|01010001161505170302071930193025000505050511122371|02020202161505170409161940193025020505051225127199|01010101020303040404070711131414131313131412121320
653096|24|2025-11-03|2026-08-10|400.0|1170.4|310022131212091426445151583547132526262636265177|313222201313151426515151587748132526262636519990|221415151414141414242631333941414142424141384045
653112|22|2025-10-27|2026-08-10|400.0|1500.0|22040009122118213616344550494934170904172481|22131310272121273616455450494940170918305499|22110808101011121314232628293436363632242226
653116|26|2025-11-03|2026-08-10|489.99|1199.0|0015111922403936273329375043717112000007060615221471|3222195743404336273443375699717112010307061517351471|1918182120212727283134353745474948433131312927141516
653100|23|2025-11-03|2026-08-10|349.99|949.98|0009083334331733294507403741450808090808416766|2828333334332539419966585941450808091035637466|1315171819202022263839404445454443423725262831
664913|12|2026-02-09|2026-08-10|2198.0|7400.0|060111131513020004538489|141111151515020317539989|100808091010100809111720
664930|18|2026-02-09|2026-08-17|1159.99|3374.99|171722242420170101000000092338465164|292423242420230301010004203338996464|232222222222221918161609070809152023
664938|19|2026-02-02|2026-08-10|599.98|2289.95|76292323372623222215080007121423157699|76473935372623222215080615122347827699|76473937373635313029281912111014222831
666783|18|2026-02-09|2026-08-10|391.99|1300.0|444344473628282820020001021647888883|445058473628282826020101133994888899|554848484746444140393330211631353845
668213|18|2026-02-16|2026-08-03|350.0|1650.0|392727201111121202000303040419496599|403629201313131402040303042041496599|393432302622191511090806060610121425
668211|20|2026-02-16|2026-08-17|250.0|1025.0|5547313020191616181600161008050831709966|5748363120201718261600161008073264839966|5652454341383428202019171616121119333639
666469|21|2026-02-16|2026-08-10|250.0|850.0|665840383736332525241620000704084199869991|725851383736333125242120040708418799899991|696756545352514646443432272516192730394346
666787|21|2026-02-16|2026-08-17|328.51|700.0|787022232436323118101413060000664683835994|998426232545323118151413060665858684839994|978675636056545148393533302019252939424750
664941|18|2026-02-16|2026-08-10|337.49|700.0|728494452903281723000302156263727276|998594453023511723000309446272727276|928989868065535148454223222630313436
668215|19|2026-02-09|2026-08-03|290.9|700.0|75635550423007020226321308020002296087|99756250423007060226322908020230517887|87827471716966464335332725231610173235
665645|18|2026-02-16|2026-08-17|234.99|600.0|714551461835363726110400041980666757|995851463137373733110404184780667257|806160585450484842403625091417223034
668208|18|2026-02-16|2026-07-20|63.75|600.0|007577493440344345373434313131345544|997877593441444445423434313135577181|797878727062504444414040403937374347
684506|11|2026-05-04|2026-08-03|500.0|2000.0|1513211900262653798392|1646232530464671829999|1618181920242733435664
685609|9|2026-05-04|2026-08-10|650.0|1301.49|150804000412309733|645012001223549999|412312121011222934
685522|11|2026-05-11|2026-08-03|347.99|1099.0|3113000609101424275866|4417321220163346596099|3725151413131625293439
685607|13|2026-05-11|2026-08-10|494.99|895.01|31200000170101011412182299|31310020260610173136525699|31292418191715101113192931
685524|14|2026-05-11|2026-08-10|222.22|944.44|2212110102010004152454304865|2922130404020814273255548399|2621191412110405091518243443
685525|12|2026-05-04|2026-08-10|362.7|900.0|441307020003050506076623|994914150003060712529767|712921141212110808122326
685605|13|2026-05-11|2026-08-10|195.0|620.0|31221713120005154471599489|38221916121020416971949994|34312723221511182224394854
684502|11|2026-05-25|2026-08-10|275.0|850.0|2200040203061630359982|2605040511223435999982|2810090808081617222629
684521|12|2026-05-04|2026-08-03|200.0|615.0|394117001312061425425867|716017121312123754609995|425047383735302427354355
685526|14|2026-05-11|2026-08-17|260.0|659.99|2810040009090910288497609999|3510081009091027979797619999|3224121110100710222832364043
684210|15|2026-05-04|2026-08-17|287.23|619.0|191113040402020200024978752184|261913130402030207344999758684|221717151413121003091118212528
684504|14|2026-05-11|2026-08-10|201.0|722.22|2713070001040405030722759929|3123180704051007124651769929|2924201713110905061620262930
709668|2|2026-08-03|2026-08-10|2350.0|3900.0|0029|4299|1833
709666|2|2026-08-03|2026-08-10|1200.0|1400.0|2500|9999|6056
709667|3|2026-08-03|2026-08-17|939.99|1350.0|390002|995102|635147
709103|3|2026-07-27|2026-08-10|950.0|1499.99|002272|229981|083642
709669|3|2026-08-03|2026-08-17|920.0|1299.99|004750|998350|233637
709304|3|2026-07-27|2026-08-10|525.0|682.87|060090|099997|082235
709102|3|2026-07-27|2026-08-10|494.5|600.0|900200|997133|985741
708197|3|2026-07-27|2026-08-10|420.69|621.0|551500|995410|755643
708198|3|2026-08-03|2026-08-17|450.0|550.0|001515|992615|564240
